식품명,식품대분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
바질크림 뇨끼뽀끼,,100g,198.0,4.15,3.56,37.39,2.26,,363.0,6.15,0.0,1.11
바질크림 컵 라볶이,,100g,369.0,7.38,13.47,55.87,3.96,,557.0,7.26,7.37,0.07
바질크림떡볶이,즉석식품류,100g,219.2,4.89,3.63,38.04,4.11,,372.2,8.1,1.75,0.0
바질크림라이스,,100g,123.0,7.92,6.25,8.75,2.08,,751.0,17.92,3.33,0.42
바질크림리조또,,100g,169.0,4.18,7.54,21.14,1.82,,328.0,11.0,2.75,0.04
바질크림소스,,100g,169.0,2.84,12.6,11.05,3.28,,427.0,28.37,7.1,0.24
바질크림스프,,100g,412.0,8.82,12.94,64.71,17.65,,2471.0,0.0,7.65,0.0
바질크림치즈샌딩베이글,,100g,315.0,7.72,13.7,40.13,9.18,,250.0,16.31,5.37,0.23
바질크림치즈스콘,,100g,436.0,9.0,22.0,51.0,12.0,,493.0,42.0,12.0,0.8
바질크림파스타,,100g,166.67,5.69,5.98,22.65,2.17,,441.67,5.79,2.56,0.0
바질토마토,,100g,432.0,7.37,21.05,52.63,13.68,,316.0,89.47,13.68,0.0
바질토마토 미미샌드,,100g,265.0,11.06,11.31,29.65,1.86,,350.0,25.98,5.88,0.1
바질토마토 크림치즈,,100g,300.5,6.75,21.4,19.55,5.65,,276.5,73.5,12.35,0.8
바질토마토 크림치즈 베를리너 도넛,,100g,317.0,7.21,14.7,38.92,10.76,,422.0,57.67,7.54,0.31
바질토마토바게트,,100g,335.0,8.24,14.71,41.18,5.29,,356.0,12.94,7.06,0.0
바질토마토베이글,,100g,271.0,7.43,10.29,37.14,4.57,,297.0,14.29,8.57,0.0
바질토마토소스 닭가슴살 & 치즈 렌틸콩 덮밥,,100g,87.0,9.09,3.09,5.64,1.45,,266.0,14.91,1.45,0.0
바질토마토소스 미트볼 & 야채볶음밥 도시락,,100g,82.0,6.88,3.75,5.31,0.94,,27.0,5.63,0.31,0.0
바질토마토소스 미트볼 & 치즈렌틸콩덮밥,,100g,101.0,7.94,5.0,5.88,1.18,,79.0,10.29,0.35,0.0
바질토마토스콘,,100g,335.0,5.52,7.51,59.67,27.33,,223.0,6.73,5.17,0.17
바질토마토치즈 치아바타 샌드위치,,100g,291.0,9.19,18.38,22.16,0.54,,564.0,25.94,5.95,0.27
바질토마토치즈식빵,,100g,272.0,8.33,7.29,44.79,1.04,,425.0,12.5,0.21,0.21
바질토마토치킨베이글-냉동,,100g,232.0,10.0,3.5,39.38,5.63,,669.0,9.38,0.63,0.0
바질토마토크림치즈 미니식빵,,100g,310.0,9.18,11.49,42.56,9.24,,420.0,49.1,6.79,0.0
바질토마토크림치즈 베이글,,100g,269.0,7.94,7.95,42.91,4.84,,405.0,15.14,3.73,0.19
바질토마토크림치즈베이글,,100g,289.0,8.14,12.5,36.2,4.5,,381.0,26.38,7.0,0.14
바질토마토피자빵,,100g,306.0,8.33,12.96,38.89,7.41,,398.0,74.07,5.56,0.0
바질토마토햄치즈샌드위치,,100g,267.0,8.15,15.56,23.7,3.7,,553.0,14.07,5.19,0.07
바질튜나샌드위치,,100g,231.0,8.99,11.59,22.7,2.65,,434.0,16.27,2.86,0.08
바질페스토,,100g,383.4,7.03,34.62,10.55,2.61,5.0,526.8,6.97,5.34,0.08
바질페스토 닭가슴살 치아바타 샌드위치,,100g,189.0,8.0,10.0,17.0,3.0,,450.0,20.0,3.0,0.0
바질페스토 모짜렐라 토마토 피자,,100g,221.0,9.59,7.4,29.04,2.19,,521.0,9.59,3.01,0.0
바질페스토 소금빵,,100g,349.0,9.13,17.5,41.25,6.3,,349.0,3.23,9.83,0.55
바질페스토 소시지 브레드,,100g,290.0,12.07,16.67,23.04,3.29,,242.0,32.24,6.73,0.1
바질페스토 스파게티,,100g,189.0,4.44,6.66,27.78,0.61,,242.5,1.46,1.29,0.0
바질페스토 시그니처,,100g,529.0,8.55,47.93,15.9,3.76,,412.0,0.0,7.39,0.09
바질페스토 시그니처 fresh,,100g,529.0,8.55,47.93,15.9,3.76,,412.0,0.0,7.39,0.09
바질페스토 치킨 랩샌드,,100g,218.0,10.45,9.09,20.0,0.91,,380.0,11.82,1.23,0.0
바질페스토 치킨 파니니,,100g,260.0,14.0,11.5,24.5,2.0,,408.0,12.5,2.5,0.0
바질페스토 콜드컷 랩샌드,,100g,245.0,11.43,10.48,21.91,1.43,,407.0,13.33,1.48,0.0
바질페스토 크림치즈,,100g,366.0,7.1,32.65,11.04,3.36,,382.0,61.35,16.06,0.47
바질페스토 파스타 샐러드,,100g,160.5,4.14,6.74,20.76,2.12,,324.5,4.24,2.54,0.0
바질페스토 페투치니 파스타,,100g,181.0,4.53,7.44,23.95,1.29,,282.0,4.85,1.39,0.0
바질페스토 필링,,100g,682.0,1.8,66.0,19.0,0.4,,30.0,0.0,6.5,0.0
바질페스토&두부크럼블샌드,,100g,194.0,9.2,7.98,21.47,1.23,,354.0,0.0,1.17,0.0
바질페스토500,,100g,529.0,8.55,47.93,15.9,3.76,,412.0,0.0,7.39,0.09
바질페스토감바스,,100g,311.0,6.56,25.16,14.44,0.66,,451.0,38.29,4.38,0.11
바질페스토새우덮밥,,100g,130.0,4.78,3.48,21.31,0.87,,270.0,28.26,0.91,0.0
바질페스토새우파스타 Basil Pesto Pasta with Shrimp,,100g,256.0,11.0,11.0,28.0,3.0,,1024.0,16.0,2.8,0.0
바질페스토새우피자,,100g,243.0,12.0,4.0,39.33,0.0,,445.0,3.33,1.2,0.0
바질페스토샐러드,,100g,182.0,4.71,6.47,25.88,4.12,,88.0,2.94,1.59,0.0
바질페스토소스,,100g,449.0,4.9,46.0,4.3,1.8,,1040.0,3.5,7.7,0.0
바질페스토스테이크웜볼,,100g,166.0,5.23,7.41,19.55,2.41,,191.0,16.23,1.14,0.05
바질페스토치킨샌드위치,,100g,203.0,10.14,10.14,17.57,2.03,,412.0,33.79,3.18,0.0
바질페스토크루통,,100g,426.0,8.47,10.93,73.44,28.14,,720.0,0.21,4.36,0.04
바질페스토파스타,,100g,184.0,4.44,5.78,28.44,0.31,,231.0,1.33,1.29,0.0
바질페스토파스타샐러드,,100g,136.0,3.78,5.31,18.4,0.68,,199.0,2.2,1.28,0.0
바질페스토필링,,100g,682.0,1.8,66.0,19.0,0.4,,130.0,0.0,6.5,0.0
바질페스티벌,,100g,469.0,10.14,43.99,11.66,1.13,6.9,525.0,0.0,9.24,0.04
바질펜네아라비아따,,100g,150.0,4.5,3.5,25.0,4.0,,325.0,0.0,0.5,0.0
바질햄치즈 치아바타 샌드위치,,100g,263.0,10.67,12.67,26.67,6.0,,897.0,28.0,6.0,0.33
바질햄치즈 크로아상,,100g,401.0,12.5,26.67,26.67,4.17,,739.0,35.83,12.5,0.25
바질햄치즈브레드,,100g,385.0,12.0,19.0,40.0,12.0,,741.0,31.0,4.8,0.0
바질향올리브오일,,100g,828.0,0.0,92.0,0.0,0.0,,0.0,0.0,14.0,0.0
바짝 오리 간장불고기,,100g,205.0,10.0,15.0,7.5,4.0,,580.0,77.5,4.0,0.0
바짝 오리 고추장불고기,,100g,220.0,10.0,15.5,10.0,5.0,,700.0,67.5,4.0,0.0
바찌 골드 카라멜 초콜릿 150g,,100g,571.0,9.0,39.0,46.0,44.0,,100.0,10.0,15.0,0.2
바찌 구스토 아마레또 200g,,100g,545.0,8.1,37.2,44.5,41.3,,20.0,10.3,14.1,0.2
바찌 밀크 프랄린 초콜릿 125g,,100g,564.0,7.2,38.0,47.3,45.2,,44.0,10.1,14.4,0.3
바찌 밀크 프랄린 초콜릿 175g,,100g,581.0,8.36,38.36,50.61,42.93,,40.0,4.08,14.29,0.07
바찌 아모레 앤 패션 150g,,100g,551.0,6.0,35.0,53.0,48.0,,140.0,9.3,14.0,0.2
바찌 어쏘티드,,100g,549.0,7.32,38.32,43.56,40.66,,16.0,10.96,15.06,0.22
바찌 어쏘티드 프랄린 초콜릿,,100g,550.0,7.3,38.5,43.9,41.1,,20.0,10.7,15.1,0.2
바찌 엑스트라 다크 125g,,100g,548.0,8.0,40.0,39.0,35.0,,10.0,15.0,18.0,0.3
바찌 오리지널 다크 프랄린 초콜릿 125g,,100g,550.0,7.0,38.0,45.0,42.0,,10.0,10.0,14.0,0.2
바찌 오리지널 다크 프랄린 초콜릿 175g,,100g,577.0,8.63,37.7,50.88,40.78,,12.0,2.94,14.56,0.07
바찌 카라멜 아몬드 프랄린 150g,,100g,570.0,9.83,36.42,50.64,38.97,,43.0,7.1,14.92,0.07
